FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CD,BT189,0.139405,-0.0467355,-0.216223,0.0807554,-0.173211,-0.0613751,-0.0539823,0.0162143,-0.0187534,-0.0390314
CD,BT191,0.110703,-0.0314092,0.0838758,-0.0268108,0.00240973,0.0802719,0.0232929,0.0055812,-0.326584,-0.217958
CD,BT192,0.0678541,-0.00749605,0.00439466,0.00542106,0.0137856,0.00333443,-0.0342174,-0.0120663,-0.0740361,0.0175004
CD,BT193,0.102682,-0.0185645,0.0120829,0.0178194,0.0325906,-0.0250212,-0.0904897,-0.0299543,-0.110209,-0.0242419
CD,BT194,0.0707573,0.00137981,0.0173772,-0.00463302,0.0504307,-0.0206574,0.0168129,0.00418156,0.10069,0.0183605
CD,BT195,0.128631,-0.041777,-0.0764946,-0.00640659,0.0580672,0.131466,0.345236,-0.0311877,0.0565406,0.085561
CD,BT196,0.140697,-0.0442833,-0.219262,0.0714198,-0.178664,-0.0620469,-0.0500132,0.0204229,-0.0174428,-0.0349101
CD,BT199,0.178107,-0.0617503,-0.215306,0.0455413,-0.11805,0.0432571,0.205207,-0.00159968,0.0433528,0.0464816
CD,BT200,0.0986144,-0.0224989,-0.00134788,-0.00911131,0.0184654,0.0223217,0.0173562,-0.0144372,-0.0586999,-0.0122704
CD,BT201,0.16044,-0.0592446,-0.264374,0.0983728,-0.237413,-0.0775737,-0.0546404,0.0287558,0.0112742,-0.0362152
CD,BT202,0.0904838,-0.0220274,0.0748084,-0.0261551,0.0768793,0.0575386,-0.0323919,-0.000890687,-0.102914,-0.100775
CD,BT204,0.0416461,0.0101131,0.0234726,-0.00611622,0.0282065,-0.009307,-0.0222254,-0.0183568,0.0206924,0.0190977
CD,BT206,0.140224,-0.0322257,0.0447737,-0.0261676,0.0299602,0.134072,0.191974,-0.00932237,-0.0839827,0.117328
CD,BT209,0.107383,-0.0359647,-0.0726206,-0.00388237,0.0661139,0.091575,0.265086,-0.0205168,0.0550986,0.0800241
CD,BT212,0.0910472,-0.022897,0.0642217,-0.0278145,-0.00270421,0.0314855,-0.0544477,-0.0220048,-0.148729,-0.000537355
CD,BT213,0.172372,-0.0642399,-0.271031,0.0775413,-0.214833,-0.054771,-0.00404446,0.0264465,0.0193935,-0.00557539
CD,BT214,0.0612658,-0.00447625,-0.0177833,0.0225904,0.0447891,0.000174527,0.00605188,-0.0137372,-0.0229506,-0.0263687
CD,BT215,0.115917,-0.0247315,-0.0079824,-0.0101756,0.0905144,-0.0181579,-0.163585,-0.0107389,-0.0879756,0.00604959
YD,BT216,0.139873,-0.0489363,-0.0681767,0.000315861,0.265254,0.0749365,0.153924,-0.014235,0.264598,-0.0624163
YD,BT217,0.0452991,-0.0216418,0.00370855,0.00047877,0.0146854,-0.00531853,0.00621393,0.00251709,0.0206609,-0.0148801
YD,BT219,0.0673858,-0.00831157,0.0297069,-0.0124276,0.0494758,-0.00603253,-0.0708334,-0.00273363,0.00428972,-0.00577495
GB,BT22,-0.082185,-0.078443,-0.00350271,-0.00052825,-0.0128691,0.0125682,-0.00681567,-0.00104099,-0.000402426,0.0478815
YD,BT220,0.074213,-0.00994398,0.0388588,-0.0112207,0.0793285,-0.0139844,-0.0927977,0.012007,0.0405876,-0.00685034
YD,BT227,0.100658,-0.0239872,-0.0272785,0.000920378,0.271539,-0.0857296,-0.33016,-0.0240672,-0.0169683,0.146282
YD,BT228,0.0885942,-0.0204062,-0.0346419,0.00321487,0.227849,-0.0779709,-0.270007,-0.020219,-0.0135467,0.119348
YD,BT229,0.116835,-0.0277092,0.125183,-0.0668787,-0.0294785,0.14798,0.0832886,-0.00536771,-0.139825,-0.0924443
GB,BT23,-0.086766,-0.0743065,-0.0058639,-0.0111942,-0.00571951,0.0270269,-0.00932082,0.00484852,-0.0119002,0.0117747
YD,BT233,0.0958545,-0.025706,-0.0312556,0.000830538,0.274953,-0.094648,-0.330241,-0.0257673,-0.0212425,0.126116
YD,BT237,0.108349,-0.0274566,0.0854188,-0.0517917,0.00845576,0.124266,0.0859978,-0.00939499,-0.0645639,-0.0863955
YD,BT238,0.0642564,-0.00581999,0.0266564,-0.00987913,0.0781345,0.0112448,-0.00753298,0.00924113,0.0069418,-0.072508
YD,BT239,0.113444,-0.0310864,-0.0502757,-0.0108219,0.253161,0.054975,0.109274,-0.0163708,0.27775,-0.0702236
GB,BT24,-0.089777,-0.0759883,-0.00135246,0.00194682,0.000377299,0.00845299,-0.00814098,0.000438767,-0.00724438,0.0216457
YD,BT241,0.119046,-0.0433941,-0.0484953,0.000509143,0.237125,0.0633319,0.15589,-0.0122994,0.27281,-0.0797563
GB,BT25,-0.10698,-0.11369,-0.00558389,-0.00607561,-0.00697369,0.0277953,-0.0241049,0.0228344,0.00702202,0.0632888
