IID,FID,Taxon,Population,Longitude,Latitude,Sites,Heterozygous,Heterozygosity
BT193,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1997,0.0376
BT194,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1701,0.0321
BT195,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2105,0.0397
BT196,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1943,0.0366
BT199,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2005,0.0378
BT200,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2054,0.0387
BT201,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1759,0.0332
BT202,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2051,0.0387
BT204,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2003,0.0378
BT206,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2052,0.0387
BT209,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2019,0.0381
BT212,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2018,0.0380
BT213,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1948,0.0367
BT214,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1981,0.0373
BT215,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1836,0.0346
BT321,DD,cincta,Dotterel Dam,146.840,-19.570,53049,1950,0.0368
BT322,DD,cincta,Dotterel Dam,146.840,-19.570,53049,1973,0.0372
BT324,DD,cincta,Dotterel Dam,146.840,-19.570,53049,2369,0.0447
BT325,DD,cincta,Dotterel Dam,146.840,-19.570,53049,2682,0.0506
BT327,DD,cincta,Dotterel Dam,146.840,-19.570,53049,2904,0.0547
BT281,FD,cincta,Ford's Dam,146.860,-19.500,53049,2382,0.0449
BT282,FD,cincta,Ford's Dam,146.860,-19.500,53049,2034,0.0383
BT283,FD,cincta,Ford's Dam,146.860,-19.500,53049,2525,0.0476
BT284,FD,cincta,Ford's Dam,146.860,-19.500,53049,2006,0.0378
BT285,FD,cincta,Ford's Dam,146.860,-19.500,53049,2717,0.0512
BT286,FD,cincta,Ford's Dam,146.860,-19.500,53049,2178,0.0411
BT288,FD,cincta,Ford's Dam,146.860,-19.500,53049,2679,0.0505
BT289,FD,cincta,Ford's Dam,146.860,-19.500,53049,2202,0.0415
BT290,FD,cincta,Ford's Dam,146.860,-19.500,53049,2123,0.0400
BT291,FD,cincta,Ford's Dam,146.860,-19.500,53049,2390,0.0451
BT293,FD,cincta,Ford's Dam,146.860,-19.500,53049,2098,0.0395
BT295,FD,cincta,Ford's Dam,146.860,-19.500,53049,2378,0.0448
BT296,FD,cincta,Ford's Dam,146.860,-19.500,53049,2266,0.0427
BT297,FD,cincta,Ford's Dam,146.860,-19.500,53049,2641,0.0498
BT299,FD,cincta,Ford's Dam,146.860,-19.500,53049,2286,0.0431
BT301,FD,cincta,Ford's Dam,146.860,-19.500,53049,2141,0.0404
BT303,FD,cincta,Ford's Dam,146.860,-19.500,53049,2012,0.0379
BT305,FD,cincta,Ford's Dam,146.860,-19.500,53049,2152,0.0406
BT307,FD,cincta,Ford's Dam,146.860,-19.500,53049,2159,0.0407
BT309,FD,cincta,Ford's Dam,146.860,-19.500,53049,2842,0.0536
BT315,FD,cincta,Ford's Dam,146.860,-19.500,53049,2829,0.0533
BT316,FD,cincta,Ford's Dam,146.860,-19.500,53049,1843,0.0347
BT34,FD,cincta,Ford's Dam,146.860,-19.500,53049,2125,0.0401
BT35,FD,cincta,Ford's Dam,146.860,-19.500,53049,2254,0.0425
BT37,FD,cincta,Ford's Dam,146.860,-19.500,53049,2132,0.0402
BT39,FD,cincta,Ford's Dam,146.860,-19.500,53049,2736,0.0516
BT41,FD,cincta,Ford's Dam,146.860,-19.500,53049,2175,0.0410
BT266,MD,cincta,Mango Dam,146.860,-19.490,53049,2299,0.0433
BT267,MD,cincta,Mango Dam,146.860,-19.490,53049,2189,0.0413
BT268,MD,cincta,Mango Dam,146.860,-19.490,53049,2182,0.0411
BT269,MD,cincta,Mango Dam,146.860,-19.490,53049,2151,0.0405
BT270,SC,cincta,Sunbird Creek,146.780,-19.420,53049,2006,0.0378
BT271,SC,cincta,Sunbird Creek,146.780,-19.420,53049,2071,0.0390
BT272,SC,cincta,Sunbird Creek,146.780,-19.420,53049,2127,0.0401
BT273,SC,cincta,Sunbird Creek,146.780,-19.420,53049,1988,0.0375
BT274,SC,cincta,Sunbird Creek,146.780,-19.420,53049,2079,0.0392
BT216,YD,cincta,Yellow Dam,146.660,-19.480,53049,1942,0.0366
BT217,YD,cincta,Yellow Dam,146.660,-19.480,53049,2251,0.0424
BT219,YD,cincta,Yellow Dam,146.660,-19.480,53049,1949,0.0367
BT220,YD,cincta,Yellow Dam,146.660,-19.480,53049,2041,0.0385
BT227,YD,cincta,Yellow Dam,146.660,-19.480,53049,2025,0.0382
BT228,YD,cincta,Yellow Dam,146.660,-19.480,53049,2092,0.0394
BT229,YD,cincta,Yellow Dam,146.660,-19.480,53049,2016,0.0380
BT233,YD,cincta,Yellow Dam,146.660,-19.480,53049,1998,0.0377
BT237,YD,cincta,Yellow Dam,146.660,-19.480,53049,2109,0.0398
BT238,YD,cincta,Yellow Dam,146.660,-19.480,53049,1989,0.0375
BT239,YD,cincta,Yellow Dam,146.660,-19.480,53049,1955,0.0369
BT241,YD,cincta,Yellow Dam,146.660,-19.480,53049,1973,0.0372
CH01,CH,hecki,Chidna,139.446,-19.387,53049,2582,0.0487
CH04,CH,hecki,Chidna,139.446,-19.387,53049,2685,0.0506
CH07,CH,hecki,Chidna,139.446,-19.387,53049,2624,0.0495
CH11,CH,hecki,Chidna,139.446,-19.387,53049,2610,0.0492
CH12,CH,hecki,Chidna,139.446,-19.387,53049,2997,0.0565
CH16,CH,hecki,Chidna,139.446,-19.387,53049,2640,0.0498
CH19,CH,hecki,Chidna,139.446,-19.387,53049,2763,0.0521
LH04,LH,hecki,Leichardt,139.736,-20.263,53049,2667,0.0503
LH05,LH,hecki,Leichardt,139.736,-20.263,53049,2710,0.0511
LH06,LH,hecki,Leichardt,139.736,-20.263,53049,2716,0.0512
LH08,LH,hecki,Leichardt,139.736,-20.263,53049,2619,0.0494
LH09,LH,hecki,Leichardt,139.736,-20.263,53049,2678,0.0505
LH13,LH,hecki,Leichardt,139.736,-20.263,53049,2643,0.0498
